"Source","Target","Weight"
"_8","_8.1","2.0"
"_8.1_BrLeft_2_BrRight_","_8.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_","2.0"
"_8","_8.1_BrLeft_2_BrRight_","2.0"
"_8","_8.2","2.0"
"_8.3.1","_8.3.1.1","2.0"
"_8.3.1","_8.3.1.2","2.0"
"_8.3","_8.3.1","2.0"
"_8.3.2","_8.3.2.1","2.0"
"_8.3.2","_8.3.2.2","2.0"
"_8.3.2","_8.3.2.3","2.0"
"_8.3.2.3_BrLeft_2_BrRight_._BrLeft_f_BrRight_1","_8.3.2.3_BrLeft_2_BrRight_._BrLeft_f_BrRight_1.C","2.0"
"_8.3.2.3_BrLeft_2_BrRight_","_8.3.2.3_BrLeft_2_BrRight_._BrLeft_f_BrRight_1","2.0"
"_8.3.2","_8.3.2.3_BrLeft_2_BrRight_","2.0"
"_8.3.2","_8.3.2.4","2.0"
"_8.3.2","_8.3.2.5","2.0"
"_8.3","_8.3.2","2.0"
"_8","_8.3","2.0"
"_8.4.1.1","_8.4.1.1.1","2.0"
"_8.4.1.1","_8.4.1.1.2","2.0"
"_8.4.1.1","_8.4.1.1.3","2.0"
"_8.4.1.1","_8.4.1.1.4","2.0"
"_8.4.1","_8.4.1.1","2.0"
"_8.4.1","_8.4.1.2","2.0"
"_8.4.1.3","_8.4.1.3.1","2.0"
"_8.4.1.3","_8.4.1.3.2","2.0"
"_8.4.1","_8.4.1.3","2.0"
"_8.4.1.4","_8.4.1.4.1","2.0"
"_8.4.1.4","_8.4.1.4.2","2.0"
"_8.4.1.4","_8.4.1.4.3","2.0"
"_8.4.1.4","_8.4.1.4.4","2.0"
"_8.4.1.4","_8.4.1.4.5","2.0"
"_8.4.1.4","_8.4.1.4.6","2.0"
"_8.4.1.4","_8.4.1.4.7","2.0"
"_8.4.1.4","_8.4.1.4.8","2.0"
"_8.4.1.4","_8.4.1.4.9","2.0"
"_8.4.1","_8.4.1.4","2.0"
"_8.4","_8.4.1","2.0"
"_8.4.2","_8.4.2.1","2.0"
"_8.4.2.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_","_8.4.2.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_.Field","2.0"
"_8.4.2.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_","_8.4.2.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_.Variable","2.0"
"_8.4.2.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_","_8.4.2.1_BrLeft_2_BrRight_._BrLeft_t_BrRight__Star_._BrLeft_r_BrRight__BrLeft_3_BrRight_.Length","2.0"
